category,slashtag,kind
science,/botany,topical
science,/cartography,topical
science,/cell-biology,topical
science,/chemistry,topical
science,/climate,topical
science,/ecology,topical
science,/electricity,topical
science,/endangered-species,topical
science,/environment,topical
science,/evolution,topical
science,/geography,topical
science,/geology,topical
science,/marine-biology,topical
science,/math,topical
science,/molecularbiology,topical
science,/nanotechnology,topical
science,/paleontology,topical
science,/physics,topical
science,/pollution,topical
science,/robotics,topical
science,/science,topical
science,/science-fair,topical
science,/science-museums,topical
science,/solar-energy,topical
science,/weather,topical
science,/wind-energy,topical
shopping,/action-figures,topical
shopping,/antiques,topical
shopping,/barbie,topical
shopping,/cameras,topical
shopping,/collectible-dolls,topical
shopping,/consumer-protection,topical
shopping,/coupons,topical
shopping,/deals,topical
shopping,/dolls,topical
shopping,/electronic-pets,topical
shopping,/fair-trade,topical
shopping,/flowers,topical
shopping,/gadgets,topical
shopping,/gift-baskets,topical
shopping,/gift-cards,topical
shopping,/gifts,topical
shopping,/gps,topical
shopping,/lego,topical
shopping,/lemon-law,topical
shopping,/made-in-america,topical
shopping,/mobile-phones,topical
shopping,/office-furniture,topical
shopping,/office-supplies,topical
shopping,/party-supplies,topical
shopping,/phone-accessories,topical
shopping,/phone-cards,topical
shopping,/posters,topical
shopping,/reviews,topical
shopping,/ringtones,topical
shopping,/telescopes,topical
shopping,/toys,topical
sports,/aikido,topical
sports,/baseball,topical
sports,/basketball,topical
sports,/boxing,topical
sports,/college-basketball,topical
sports,/college-football,topical
sports,/college-sports,topical
sports,/cricket,topical
sports,/fantasy-baseball,topical
sports,/fantasy-football,topical
sports,/figure-skating,topical
sports,/football,topical
sports,/martial-arts,topical
sports,/mlb,topical
sports,/mma,topical
sports,/nba,topical
sports,/nfl,topical
sports,/nhl,topical
sports,/olympics,topical
sports,/racing,topical
sports,/rugby,topical
sports,/running,topical
sports,/skiing,topical
sports,/soccer,topical
sports,/super-bowl,topical
sports,/swimming,topical
sports,/tai-chi,topical
sports,/tennis,topical
sports,/wnba,topical
sports,/womens-basketball,topical
sports,/wrestling,topical
builtin,/add,builtin
builtin,/american-history,builtin
builtin,/apple,builtin
builtin,/appliances,builtin
builtin,/architecture,builtin
builtin,/arts,builtin
builtin,/astronomy,builtin
builtin,/beauty,builtin
builtin,/broadway,builtin
builtin,/cocktails,builtin
builtin,/colleges,builtin
builtin,/date,builtin
builtin,/define,builtin
builtin,/diy,builtin
builtin,/editme,builtin
builtin,/games,builtin
builtin,/gardening,builtin
builtin,/handbags,builtin
builtin,/health,builtin
builtin,/holidays,builtin
builtin,/hotels,builtin
builtin,/images,builtin
builtin,/likes,builtin
builtin,/login,builtin
builtin,/logout,builtin
builtin,/map,builtin
builtin,/me,builtin
builtin,/money,builtin
builtin,/music,builtin
builtin,/parenting,builtin
builtin,/perfumes,builtin
builtin,/profile,builtin
builtin,/programming,builtin
builtin,/recipes,builtin
builtin,/religion,builtin
builtin,/shop,builtin
builtin,/smallbusiness,builtin
builtin,/sports,builtin
builtin,/stock,builtin
builtin,/travel,builtin
builtin,/user,builtin
builtin,/videos,builtin
builtin,/view,builtin
builtin,/weather,builtin
builtin,/wine,builtin
